epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
176,5347.61,0.80885,0.31784,1.10502,0.99581,0.9922,0.9941,0.74306,1.06143,0.3318,1.40747,0.0013375,0.0013375,0.0013375
177,5375.83,0.81287,0.32041,1.11422,0.99503,0.9928,0.99401,0.74032,1.06228,0.33326,1.40801,0.001288,0.001288,0.001288
178,5403.63,0.81221,0.32103,1.11185,0.99551,0.9946,0.9945,0.74144,1.06616,0.33351,1.41163,0.0012385,0.0012385,0.0012385
179,5431.33,0.81728,0.32369,1.10965,0.99461,0.99589,0.9945,0.74031,1.0661,0.33389,1.41102,0.001189,0.001189,0.001189
180,5458.85,0.81019,0.32058,1.1076,0.99519,0.99378,0.99402,0.74199,1.06296,0.33269,1.40956,0.0011395,0.0011395,0.0011395
181,5486.22,0.80969,0.31848,1.10642,0.99579,0.99323,0.99401,0.74076,1.06341,0.3332,1.40982,0.00109,0.00109,0.00109
182,5513.67,0.81113,0.31888,1.10746,0.99519,0.99308,0.99395,0.74176,1.06314,0.33415,1.41043,0.0010405,0.0010405,0.0010405
183,5541.19,0.80838,0.31844,1.1113,0.99639,0.9931,0.99385,0.74056,1.06313,0.33453,1.41049,0.000991,0.000991,0.000991
184,5568.49,0.80526,0.31948,1.1075,0.99678,0.9946,0.99448,0.74207,1.06414,0.3345,1.41019,0.0009415,0.0009415,0.0009415
185,5595.86,0.80925,0.31722,1.10857,0.99639,0.99329,0.99403,0.74096,1.06431,0.33464,1.41317,0.000892,0.000892,0.000892
186,5623.4,0.80085,0.31787,1.1012,0.9958,0.99443,0.99402,0.73968,1.06503,0.33433,1.41371,0.0008425,0.0008425,0.0008425
187,5651.17,0.80263,0.31769,1.10227,0.99579,0.99438,0.99411,0.73944,1.06633,0.33454,1.41408,0.000793,0.000793,0.000793
188,5678.89,0.80018,0.31683,1.10413,0.9964,0.99482,0.99443,0.73893,1.06603,0.33458,1.41425,0.0007435,0.0007435,0.0007435
189,5706.34,0.79679,0.31478,1.1047,0.99672,0.9946,0.99453,0.74127,1.06477,0.33376,1.4141,0.000694,0.000694,0.000694
190,5733.83,0.79462,0.31176,1.10549,0.99676,0.9946,0.99453,0.7414,1.06415,0.33393,1.41681,0.0006445,0.0006445,0.0006445
191,5763.93,0.7643,0.28912,1.12993,0.99639,0.99398,0.99408,0.74239,1.06626,0.33426,1.41735,0.000595,0.000595,0.000595
192,5791.36,0.74516,0.28348,1.12008,0.99579,0.99394,0.99396,0.74167,1.06633,0.334,1.41922,0.0005455,0.0005455,0.0005455
193,5818.76,0.74223,0.28283,1.11864,0.99579,0.99375,0.99408,0.73991,1.0694,0.33489,1.42438,0.000496,0.000496,0.000496
194,5846.14,0.74502,0.28335,1.11529,0.99675,0.9928,0.99406,0.73921,1.07171,0.33556,1.42727,0.0004465,0.0004465,0.0004465
195,5873.63,0.73488,0.2803,1.11611,0.9965,0.9928,0.99404,0.73928,1.07332,0.33659,1.4295,0.000397,0.000397,0.000397
196,5901.03,0.73857,0.28134,1.11677,0.99635,0.9928,0.99403,0.73967,1.07506,0.3379,1.43112,0.0003475,0.0003475,0.0003475
197,5928.91,0.73172,0.27851,1.10784,0.99651,0.9928,0.99403,0.73976,1.07586,0.33852,1.43318,0.000298,0.000298,0.000298
198,5956.38,0.73174,0.27743,1.10954,0.9961,0.9928,0.99403,0.74026,1.07614,0.33809,1.43565,0.0002485,0.0002485,0.0002485
199,5983.82,0.73047,0.27788,1.11233,0.99579,0.9933,0.99402,0.73914,1.07674,0.33977,1.43674,0.000199,0.000199,0.000199
200,6011.27,0.72563,0.27706,1.10756,0.99619,0.9928,0.99399,0.73949,1.07733,0.34001,1.43771,0.0001495,0.0001495,0.0001495
